Categoria: Todas as categorias

Mês,bitcoin: (Brasil)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,<1
2011-06,<1
2011-07,<1
2011-08,<1
2011-09,<1
2011-10,<1
2011-11,<1
2011-12,<1
2012-01,<1
2012-02,<1
2012-03,<1
2012-04,<1
2012-05,1
2012-06,<1
2012-07,<1
2012-08,<1
2012-09,<1
2012-10,<1
2012-11,<1
2012-12,<1
2013-01,<1
2013-02,<1
2013-03,<1
2013-04,1
2013-05,1
2013-06,1
2013-07,1
2013-08,1
2013-09,1
2013-10,1
2013-11,3
2013-12,3
2014-01,3
2014-02,3
2014-03,3
2014-04,2
2014-05,2
2014-06,2
2014-07,1
2014-08,1
2014-09,1
2014-10,1
2014-11,1
2014-12,1
2015-01,1
2015-02,1
2015-03,2
2015-04,2
2015-05,2
2015-06,2
2015-07,2
2015-08,2
2015-09,2
2015-10,3
2015-11,3
2015-12,3
2016-01,4
2016-02,3
2016-03,3
2016-04,4
2016-05,5
2016-06,6
2016-07,5
2016-08,3
2016-09,4
2016-10,3
2016-11,5
2016-12,6
2017-01,7
2017-02,7
2017-03,8
2017-04,8
2017-05,22
2017-06,17
2017-07,16
2017-08,25
2017-09,28
2017-10,26
2017-11,36
2017-12,81
2018-01,47
2018-02,33
2018-03,24
2018-04,19
2018-05,15
2018-06,13
2018-07,13
2018-08,14
2018-09,13
2018-10,11
2018-11,15
2018-12,16
2019-01,12
2019-02,12
2019-03,13
2019-04,22
2019-05,33
2019-06,45
2019-07,49
2019-08,47
2019-09,34
2019-10,27
2019-11,20
2019-12,18
2020-01,19
2020-02,20
2020-03,26
2020-04,20
2020-05,25
2020-06,17
2020-07,19
2020-08,18
2020-09,14
2020-10,15
2020-11,28
2020-12,31
2021-01,68
2021-02,67
2021-03,55
2021-04,67
2021-05,72
2021-06,59
2021-07,47
2021-08,53
2021-09,44
2021-10,47
2021-11,41
2021-12,45
2022-01,59
2022-02,51
2022-03,45
2022-04,34
2022-05,47
2022-06,52
2022-07,43
2022-08,31
2022-09,29
2022-10,22
2022-11,31
2022-12,25
2023-01,36
2023-02,51
2023-03,65
2023-04,69
2023-05,69
2023-06,72
2023-07,78
2023-08,86
2023-09,75
2023-10,77
2023-11,79
2023-12,85
2024-01,81
2024-02,66
2024-03,94
2024-04,81
2024-05,66
2024-06,58
2024-07,64
2024-08,67
2024-09,56
2024-10,53
2024-11,99
2024-12,100
2025-01,62
2025-02,40
2025-03,38
2025-04,32
2025-05,38
2025-06,35
2025-07,43
2025-08,37
2025-09,35
2025-10,42
2025-11,45
