Categoria: Todas as categorias

Mês,criptomoedas: (Brasil)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,<1
2015-12,<1
2016-01,0
2016-02,<1
2016-03,<1
2016-04,<1
2016-05,<1
2016-06,1
2016-07,1
2016-08,<1
2016-09,<1
2016-10,0
2016-11,<1
2016-12,<1
2017-01,<1
2017-02,<1
2017-03,<1
2017-04,1
2017-05,2
2017-06,2
2017-07,2
2017-08,6
2017-09,6
2017-10,4
2017-11,7
2017-12,21
2018-01,22
2018-02,14
2018-03,9
2018-04,10
2018-05,9
2018-06,8
2018-07,8
2018-08,8
2018-09,8
2018-10,7
2018-11,9
2018-12,10
2019-01,9
2019-02,9
2019-03,10
2019-04,12
2019-05,20
2019-06,15
2019-07,17
2019-08,14
2019-09,13
2019-10,11
2019-11,8
2019-12,6
2020-01,7
2020-02,8
2020-03,11
2020-04,8
2020-05,11
2020-06,7
2020-07,8
2020-08,8
2020-09,6
2020-10,6
2020-11,9
2020-12,29
2021-01,24
2021-02,31
2021-03,38
2021-04,76
2021-05,84
2021-06,48
2021-07,40
2021-08,65
2021-09,57
2021-10,62
2021-11,80
2021-12,77
2022-01,100
2022-02,68
2022-03,61
2022-04,52
2022-05,56
2022-06,37
2022-07,33
2022-08,26
2022-09,28
2022-10,22
2022-11,27
2022-12,22
2023-01,27
2023-02,27
2023-03,31
2023-04,24
2023-05,22
2023-06,21
2023-07,18
2023-08,24
2023-09,18
2023-10,20
2023-11,21
2023-12,28
2024-01,30
2024-02,28
2024-03,46
2024-04,38
2024-05,34
2024-06,27
2024-07,25
2024-08,21
2024-09,20
2024-10,23
2024-11,49
2024-12,57
2025-01,66
2025-02,34
2025-03,24
2025-04,22
2025-05,22
2025-06,19
2025-07,22
2025-08,19
2025-09,17
2025-10,20
